Date Range,Week Day,Time/Shift Hours,Restaurant,Offer or Time,Base Pay,Peak Pay,Tip Amount,Delivery Total
Jan 6-12,Thursday,"5pm, 6pm",Metro Diner,Per Offer,$5.00,$0.00,$11.00,$16.00
Jan 6-12,Friday,"12pm, 1pm, 2pm",Taco Bell,Per Offer,$2.00,$0.00,$1.00,$3.00
Jan 6-12,Friday,"12pm, 1pm, 2pm",Wingstop,Per Offer,$4.50,$0.00,$3.00,$7.50
Jan 6-12,Friday,"2pm, 3pm",Zaxbys,By Time,$7.37,$0.00,$1.75,$9.12
Jan 6-12,Friday,"2pm, 3pm",La Fiesta,By Time,$5.89,$0.00,$0.50,$6.39
Jan 6-12,Friday,"5pm, 6pm",Millers Ale House,By Time,$7.10,$2.19,$11.50,$20.79
Jan 6-12,Sunday,1pm,Unknown,Per Offer,$2.00,$0.00,$3.42,$5.42
Jan 6-12,Sunday,"1pm, 2pm, 3pm",Popeyes,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 6-12,Sunday,"1pm, 2pm, 3pm",Stoked Poke,Per Offer,$2.00,$0.00,$4.00,$6.00
Jan 6-12,Sunday,"3pm, 4pm",Panda Express,Per Offer,$2.00,$0.00,$0.50,$2.50
Jan 6-12,Sunday,"3pm, 4pm",Sushi 99,Per Offer,$2.00,$0.00,$10.00,$12.00
Jan 13-19,Monday,"11am, 12pm",Taco Bell,Per Offer,$2.25,$0.00,$8.00,$10.25
Jan 13-19,Monday,"11am, 12pm",Unknown,Per Offer,$3.75,$0.00,$3.00,$6.75
Jan 13-19,Monday,"11am, 12pm",Del Taco,Per Offer,$2.00,$0.00,$1.08,$3.08
Jan 13-19,Monday,1pm,CFA,Per Offer,$6.50,$0.00,$4.00,$10.50
Jan 13-19,Wednesday,4pm,Marcos Pizza,Per Offer,$2.00,$0.00,$4.57,$6.57
Jan 13-19,Thursday,"11am, 12pm",Unknown,Per Offer,$3.75,$0.00,$3.00,$6.75
Jan 13-19,Thursday,"11am, 12pm",CFA,Per Offer,$2.50,$0.00,$5.00,$7.50
Jan 13-19,Thursday,"11am, 12pm",Firehouse Subs,Per Offer,$2.00,$0.00,$1.00,$3.00
Jan 13-19,Friday,"11am, 12pm",Popeyes,Per Offer,$8.00,$0.00,$0.00,$8.00
Jan 13-19,Friday,"11am, 12pm",Firehouse Subs,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 13-19,Saturday,12pm,McDonalds,Per Offer,$3.50,$0.00,$1.50,$5.00
Jan 13-19,Saturday,12pm,Peach Valley Cafe,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 13-19,Saturday,"1pm, 2pm",Manzanos Deli,Per Offer,$2.00,$0.00,$7.00,$9.00
Jan 13-19,Saturday,"1pm, 2pm",Unknown,Per Offer,$2.00,$0.00,$0.25,$2.25
Jan 13-19,Saturday,"2pm, 3pm",Popeyes,Per Offer,$2.00,$0.00,$7.00,$9.00
Jan 13-19,Saturday,"2pm, 3pm",Pizza Hut,Per Offer,$3.25,$0.00,$1.00,$4.25
Jan 13-19,Saturday,3pm,Dustins BBQ,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 13-19,Sunday,"10am, 11am",Mels Diner,Per Offer,$2.00,$0.00,$4.75,$6.75
Jan 13-19,Sunday,"10am, 11am, 12pm, 1pm, 2pm",Panera,Per Offer,$2.00,$0.00,$4.00,$6.00
Jan 13-19,Sunday,"11am, 12pm, 1pm, 2pm",Firehouse Subs,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 13-19,Sunday,"11am, 12pm, 1pm, 2pm",Its Just Wings,Per Offer,$4.50,$0.00,$5.00,$9.50
Jan 13-19,Sunday,"10am, 11am, 12pm, 1pm",Dunkin Donuts,Per Offer,$6.25,$0.00,$6.00,$12.25
Jan 13-19,Sunday,"1pm, 2pm",Wendys,Per Offer,$2.00,$0.00,$0.00,$2.00
Jan 13-19,Sunday,"10am, 11am, 12pm, 1pm",Dunkin Donuts,Per Offer,$2.00,$0.00,$2.50,$4.50
Jan 13-19,Sunday,"11am, 12pm, 1pm, 2pm",Wild Ginger,Per Offer,$2.00,$0.00,$4.00,$6.00
Jan 13-19,Sunday,"11am, 12pm, 1pm, 2pm",Culvers,Per Offer,$2.00,$0.00,$3.50,$5.50
Jan 13-19,Sunday,"11am, 12pm, 1pm",Mama Mias,Per Offer,$2.00,$0.00,$3.50,$5.50
Jan 13-19,Sunday,4pm,Dustins BBQ,Per Offer,$2.00,$0.00,$7.25,$9.25
Jan 20-26,Monday,11am,Asian House,By Time,$4.88,$0.00,$1.50,$6.38
Jan 20-26,Monday,"12pm, 1pm, 2pm, 3pm",Wingstop,By Time,$8.93,$0.00,$0.00,$8.93
Jan 20-26,Monday,"12pm, 1pm, 2pm, 3pm",Hi Boba Tea,By Time,$7.92,$0.00,$11.50,$19.42
Jan 20-26,Monday,"12pm, 1pm, 2pm, 3pm",Millers Ale House,By Time,$8.10,$0.00,$8.00,$16.10
Jan 20-26,Monday,"12pm, 1pm, 2pm, 3pm",1800 Radiator,By Time,$5.57,$0.00,$0.00,$5.57
Jan 20-26,Monday,"12pm, 1pm, 2pm, 3pm",Chipotle,By Time,$5.34,$0.00,$0.00,$5.34
Jan 20-26,Monday,"12pm, 1pm, 2pm, 3pm",Stoked Poke,By Time,$5.34,$0.00,$0.00,$5.34
Jan 20-26,Thursday,12pm,Marcos Pizza,Per Offer,$3.50,$0.00,$6.00,$9.50
Jan 20-26,Thursday,"4pm, 5pm",Chicken Salad Chick,Per Offer,$2.00,$0.00,$11.50,$13.50
Jan 20-26,Thursday,"4pm, 5pm",Jets Pizza,Per Offer,$2.25,$0.00,$6.50,$8.75
Jan 20-26,Friday,7am,McDonalds,Per Offer,$2.00,$0.00,$2.00,$4.00
Jan 20-26,Friday,9am,Starbucks,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",Tijuana Flats,Per Offer,$5.00,$0.00,$0.00,$5.00
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",Petco,Per Offer,$3.00,$0.00,$2.70,$5.70
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",CFA,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",Chilis,Per Offer,$1.25,$0.00,$5.00,$6.25
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",Chilis,Per Offer,$1.25,$0.00,$5.00,$6.25
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",Arbys,Per Offer,$2.00,$0.00,$3.00,$5.00
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",Wendys,Per Offer,$2.00,$0.00,$5.00,$7.00
Jan 20-26,Friday,"11am, 12pm, 1pm, 2pm",McDonalds,Per Offer,$2.00,$0.00,$4.00,$6.00
Jan 20-26,Saturday,"12pm, 1pm",Dunkin Donuts,By Time,$4.00,$0.00,$2.00,$6.00
Jan 20-26,Saturday,"12pm, 1pm",NAPA,By Time,$6.97,$0.00,$0.00,$6.97
Jan 20-26,Saturday,"12pm, 1pm",Dunkin Donuts,By Time,$6.23,$0.00,$3.00,$9.23
Jan 20-26,Sunday,3pm,Marcos Pizza,Per Offer,$2.37,$0.00,$0.00,$2.37
Jan 20-26,Sunday,3pm,Marcos Pizza,Per Offer,$2.38,$0.00,$0.00,$2.38
Jan 20-26,Sunday,4pm,Chilis,Per Offer,$2.50,$0.00,$5.00,$7.50
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Starbucks,By Time,$3.80,$0.00,$1.50,$5.30
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Millers Ale House,By Time,$6.69,$0.00,$8.00,$14.69
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Osaka Sushi,By Time,$5.41,$0.00,$5.50,$10.91
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Popeyes,By Time,$6.42,$0.00,$0.00,$6.42
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Chipotle,By Time,$5.07,$0.00,$5.00,$10.07
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Dahlia,By Time,$5.27,$0.00,$0.00,$5.27
Jan 27-Feb 2,Monday,"10am, 11am, 12pm, 1pm, 2pm",Dennys,By Time,$5.77,$0.00,$3.00,$8.77
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",PF Changs,Per Offer,$2.00,$0.00,$7.00,$9.00
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",Sonic,Per Offer,$2.25,$0.00,$4.00,$6.25
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",Unknown,Per Offer,$3.25,$0.00,$3.00,$6.25
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",J&B Kingston,Per Offer,$4.00,$0.00,$2.00,$6.00
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",CFA,Per Offer,$4.25,$0.00,$1.20,$5.45
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",J&B Kingston,Per Offer,$2.00,$0.00,$0.00,$2.00
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",Eat Greek,Per Offer,$2.00,$0.00,$3.50,$5.50
Jan 27-Feb 2,Thursday,"12pm, 1pm, 2pm, 3pm",Tia Coris Tacos,Per Offer,$2.00,$0.00,$3.50,$5.50
Jan 27-Feb 2,Friday,10am,Panda Express,Per Offer,$2.00,$0.00,$3.50,$5.50
Jan 27-Feb 2,Friday,10am,Starbucks,Per Offer,$2.00,$0.00,$4.00,$6.00
Jan 27-Feb 2,Friday,"12pm, 1pm",McDonalds,Per Offer,$2.00,$0.00,$5.00,$7.00
Jan 27-Feb 2,Friday,"12pm, 1pm",CFA,Per Offer,$4.00,$0.00,$5.00,$9.00
Jan 27-Feb 2,Friday,"12pm, 1pm",Starbucks,Per Offer,$2.00,$0.00,$2.00,$4.00
Jan 27-Feb 2,Friday,"12pm, 1pm",Stoked Poke,Per Offer,$4.50,$0.00,$0.00,$4.50
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",McDonalds,Per Offer,$2.00,$0.00,$6.00,$8.00
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",McDonalds,Per Offer,$2.00,$0.00,$6.00,$8.00
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",Taco Bell,Per Offer,$3.50,$0.00,$2.00,$5.50
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",7Eleven,Per Offer,$1.25,$0.00,$3.50,$4.75
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",Panda Express,Per Offer,$1.25,$0.00,$5.00,$6.25
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",Manzanos Deli,Per Offer,$2.00,$0.00,$5.00,$7.00
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",Dunkin Donuts,Per Offer,$2.00,$0.00,$8.00,$10.00
Jan 27-Feb 2,Saturday,"10am, 11am, 12pm",CFA,Per Offer,$7.00,$0.00,$0.00,$7.00
Jan 27-Feb 2,Sunday,2pm,Pizza Hut,Per Offer,$2.00,$0.00,$4.42,$6.42
Jan 27-Feb 2,Sunday,3pm,Del Taco,Per Offer,$6.00,$0.00,$0.00,$6.00
Jan 27-Feb 2,Sunday,"4pm, 5pm",Popeyes,Per Offer,$2.00,$0.00,$9.00,$11.00
Jan 27-Feb 2,Sunday,"4pm, 5pm",Bronx House Pizza,Per Offer,$2.00,$0.00,$9.00,$11.00
